TrackID,Name,Artist,Genre,Size,TotalTime,Location,AverageBpm,DateAdded,BitRate,SampleRate
4813231,Let’s Fxcking Go,NOTMYTYPE & IGDA ,,43450218,246,file://localhost/Users/markus/Desktop/eneren/Markus%20Hate%20Models%20Mix%202024%20Hard%20Acid%20Fuck%20Ediotion/NOTMYTYPE%20%26%20IGDA%20-%20Let%e2%80%99s%20Fxcking%20Go.wav,152.00,2024-02-15,1411,44100
163043036,DARK SIDE (Original Mix),KX CHR,Hard Techno,12832578,291,file://localhost/Users/markus/Desktop/eneren/Markus%20Hate%20Models%20Mix%202024%20Hard%20Acid%20Fuck%20Ediotion/18542204_DARK%20SIDE_(Original%20Mix).mp3,155.00,2024-02-15,320,44100
144791336,Tryambakam (Original Mix),Veseli,Techno (Peak Time / Driving),14684210,354,file://localhost/Users/markus/Desktop/eneren/Markus%20Hate%20Models%20Mix%202024%20Hard%20Acid%20Fuck%20Ediotion/18375455_Tryambakam_(Original%20Mix).mp3,155.00,2024-02-15,320,44100
122085490, Try It ,KX CHR,,67481984,255,file://localhost/Users/markus/Desktop/eneren/Markus%20Hate%20Models%20Mix%202024%20Hard%20Acid%20Fuck%20Ediotion/KX%20CHR%20-%20TRY%20IT.wav,152.00,2024-02-15,2116,44100
257723776,Acid Is My Drug ,Rabteu,,70469054,266,file://localhost/Users/markus/Desktop/eneren/Markus%20Hate%20Models%20Mix%202024%20Hard%20Acid%20Fuck%20Ediotion/Acid%20Is%20My%20Drug%20(MASTER1).wav,155.00,2024-02-15,2116,44100
57113586,Fuck This (Original Mix),"Faceless, elMefti, Holy Priest",Hard Techno,10707372,255,file://localhost/Users/markus/Desktop/eneren/Markus%20Hate%20Models%20Mix%202024%20Hard%20Acid%20Fuck%20Ediotion/17880959_Fuck%20This_(Original%20Mix).mp3,152.00,2024-02-15,320,44100
139834953,Blade (Extended Mix),"Neitan, DJ Kuba, Bounce Inc.",Mainstage,14041731,300,file://localhost/Users/markus/Desktop/eneren/Markus%20Hate%20Models%20Mix%202024%20Hard%20Acid%20Fuck%20Ediotion/18470322_Blade_(Extended%20Mix).mp3,136.00,2024-02-15,320,44100
45117552,Got That Booty (Extended Mix),B.Unq!,Hard Techno,14913291,331,file://localhost/Users/markus/Desktop/eneren/Markus%20Hate%20Models%20Mix%202024%20Hard%20Acid%20Fuck%20Ediotion/18420294_Got%20That%20Booty_(Extended%20Mix).mp3,160.00,2024-02-15,320,44100
90350456,It's That Time (Original Mix),Marlon Hoffstadt,Techno (Peak Time / Driving),10275931,240,file://localhost/Users/markus/Desktop/eneren/Markus%20Hate%20Models%20Mix%202024%20Hard%20Acid%20Fuck%20Ediotion/18041420_It_s%20That%20Time_(Original%20Mix).mp3,147.00,2024-02-15,320,44100
148274311,Fxck (Original Mix),Luciid,Hard Techno,16973961,376,file://localhost/Users/markus/Desktop/eneren/Markus%20Hate%20Models%20Mix%202024%20Hard%20Acid%20Fuck%20Ediotion/17293615_Fxck_(Original%20Mix).mp3,150.00,2024-02-15,320,44100
75847720,Work That (Original Mix),Creeds,Hard Dance / Hardcore,12017315,246,file://localhost/Users/markus/Desktop/eneren/Markus%20Hate%20Models%20Mix%202024%20Hard%20Acid%20Fuck%20Ediotion/17044996_Work%20That_(Original%20Mix).mp3,150.00,2024-02-15,320,44100
154440998,Muschi Muschi,DBBD & Miss Bashful,,6592042,182,file://localhost/Users/markus/Desktop/eneren/Markus%20Hate%20Models%20Mix%202024%20Hard%20Acid%20Fuck%20Ediotion/DBBD%20%26%20Miss%20Bashful%20-%20Muschi%20Muschi.mp3,150.00,2024-02-15,0,44100
86874127,ACAB,ÅMRTÜM ,,60048174,340,file://localhost/Users/markus/Desktop/eneren/Markus%20Hate%20Models%20Mix%202024%20Hard%20Acid%20Fuck%20Ediotion/%c3%85MRT%c3%9cM%20-%20ACAB.wav,150.00,2024-02-15,1411,44100
111395251,Prada (Valexus Remix),"Raye, Casso, D-Block Europe, Valexus",Dance / Electro Pop,5442442,135,file://localhost/Users/markus/Desktop/eneren/Markus%20Hate%20Models%20Mix%202024%20Hard%20Acid%20Fuck%20Ediotion/18086649_Prada_(Valexus%20Remix).mp3,154.00,2024-02-15,320,44100
